round	lane	C1	C2	C3	C4	C5	conj
1	OpenAI-Luna	1	1	1	1	0	1
1	Google-G37F	1	1	1	0	0	1
1	DeepSeek-V4P	1	1	1	0	0	1
1	Qwen-24T	1	1	1	0	0	1
1	Moonshot-K3	1	1	1	1	0	1
1	ZAI-GLM53	1	1	1	1	1	1
1	xAI-Grok46	1	1	0	0	0	0
1	MiniMax-M3	0	0	0	0	0	0
2	OpenAI-Luna	1	1	1	1	0	1
2	Google-G37F	1	1	1	0	0	1
2	DeepSeek-V4P	1	1	1	1	0	1
2	Qwen-24T	1	1	1	0	0	1
2	Moonshot-K3	1	1	0	1	0	0
2	ZAI-GLM53	1	1	1	1	0	1
2	xAI-Grok46	1	1	1	0	0	1
2	MiniMax-M3	1	1	1	0	1	1
3	OpenAI-Luna	1	1	0	0	0	0
3	Google-G37F	1	1	1	0	0	1
3	DeepSeek-V4P	1	1	1	1	0	1
3	Qwen-24T	1	1	1	1	0	1
3	Moonshot-K3	1	1	1	1	0	1
3	ZAI-GLM53	1	1	1	1	1	1
3	xAI-Grok46	1	1	1	0	0	1
3	MiniMax-M3	1	1	1	1	0	1
4	OpenAI-Luna	0	1	0	0	0	0
4	Google-G37F	1	1	1	0	0	1
4	DeepSeek-V4P	1	1	1	0	0	1
4	Qwen-24T	1	1	1	0	0	1
4	Moonshot-K3	1	1	1	1	0	1
4	ZAI-GLM53	1	1	1	1	1	1
4	xAI-Grok46	1	1	1	0	0	1
4	MiniMax-M3	1	1	1	0	0	1
